Business Area,Report Name,Report Description,Existing Label,Dictionary Label,ICM Data Field Path,Label Source,Label Match Rating,Follow Up Required
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",MSO start date,Class Start Date,Case/More Info/More Info IA,ICM,Low,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",*MSO reason,MSO Reason,Case/SD More Info/MSO Reason Code,MIS,Low,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",description,N/A,Case/SD More Info/MSO Reason Code,ICM,Low,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",end date,MSO Review Date,Case/SD More Info/MSO Review Date,ICM,Low,No
Local Offices,BCEA Computer Cheques Requiring Review (p071-01),Case Management - Payments directed to office for >$4500 or invalid PCD. Field corrects the cases so payments are not directed to local office. Report run as part of pre-cheque issue,surname,Last Name,Contact/Contact View Screen,ICM,Low,No
Local Offices,BCEA Computer Cheques Requiring Review (p071-01),Case Management - Payments directed to office for >$4500 or invalid PCD. Field corrects the cases so payments are not directed to local office. Report run as part of pre-cheque issue,given name,First Name,Contact/Contact View Screen,ICM,Low,No
Local Offices,BCEA Computer Cheques Requiring Review (p071-01),Case Management - Payments directed to office for >$4500 or invalid PCD. Field corrects the cases so payments are not directed to local office. Report run as part of pre-cheque issue,file id,Legacy ID,Case/Case View Screen,ICM,Low,No
Local Offices,BCEA Computer Cheques Requiring Review (p071-01),Case Management - Payments directed to office for >$4500 or invalid PCD. Field corrects the cases so payments are not directed to local office. Report run as part of pre-cheque issue,ongoing cheque dist,Distribution Method,Case/Plans/Order,ICM,Low,No
Local Offices,BCEA Computer Cheques Requiring Review (p071-01),Case Management - Payments directed to office for >$4500 or invalid PCD. Field corrects the cases so payments are not directed to local office. Report run as part of pre-cheque issue,cheque amount,Amount,Contact/Plans/MIS cheque history/MIS cheques Line,MIS,Low,No
Local Offices,BCEA Computer Cheques Requiring Review (p071-01),Case Management - Payments directed to office for >$4500 or invalid PCD. Field corrects the cases so payments are not directed to local office. Report run as part of pre-cheque issue,chequ no,Cheque Number,Contact/Plans/MIS cheque history/MIS cheques Line,MIS,Low,No
Local Offices,BCEA Computer Cheques Requiring Review (p071-01),Case Management - Payments directed to office for >$4500 or invalid PCD. Field corrects the cases so payments are not directed to local office. Report run as part of pre-cheque issue,current cheque dist,Distribution Code,Contact/Plans/MIS cheque history/MIS cheques Line,MIS,Low,No
Local Offices,BCEA Computer Cheques Requiring Review (p071-01),Case Management - Payments directed to office for >$4500 or invalid PCD. Field corrects the cases so payments are not directed to local office. Report run as part of pre-cheque issue,caseload,Caseload,Case/Work Queue,MIS,High,No
Local Offices,BCEA Computer Cheques Requiring Review (p071-01),Case Management - Payments directed to office for >$4500 or invalid PCD. Field corrects the cases so payments are not directed to local office. Report run as part of pre-cheque issue,reason for review,Reason for Review,No,MIS,High,MIS
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",office,Case Office,Case/Case View Screen,ICM,Low,No
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",CSLD,Caseload,Case/Work Queue,MIS,High,No
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",applicant name,Case Name,Contact/AKA/Primary,ICM,Low,No
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",file id,Legacy ID,Case/Case View Screen,ICM,Low,No
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",cat,Category,Case/More Info/More Info IA,ICM,Low,No
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",child count mismatch Gain,Total Dependants on Case,NO,Report,Medium,No
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",child count mismatch FB,Total Dependents from SC file,Contact/CCB-FB Income,MIS,High,MIS
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",fb *01 in pay,FB Maximum Top Up Benefit amount,formula,MIS,High,MIS
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",cancellation date,Benefit cancellation date,No,MIS,High,MIS
Local Offices,Gain-Family Bonus (FB) Discrepancies (MI08U-01),"Case Management - Family Bonus Discrepancy. Comparson of Service Canada to EA Cases which reports number of dependents on a case that are eligilbe for FB top up 
",available maximum,Family Bonus eligible amount,No,MIS,Medium,MIS
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",sponsor name,Sponsor Name,Sponsor Contact/Contact View Screen,ICM,Low,No
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",cic number,CIC Number,Sponsoree Contact/Immigration,ICM,Low,No
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",field id,Legacy ID,Sponsor Case/Case View Screen,ICM,Low,No
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",status code,Status Codes,Sponser Case/Case View Screen,ICM,Low,No
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",assignment receive dt,Assignment Received Date,Sponsoree Contact/Immigration,ICM,Low,No
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",rar debt date added,Date Debt Added,Sponsor Case/More Info/Debt Agreements,MIS,Medium,MIS
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",rar debt type,Debt Type,Sponsor Case/More Info/Debt Agreements,MIS,Medium,MIS
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",rar debt amount,Debt Amount,Sponsor Case/More Info/Debt Agreements,MIS,Medium,MIS
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",debt payments to date,Debt Payments to Date,Sponsor Case/More Info/Debt Agreements,MIS,Medium,MIS
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",sponsorship start date,Sponsorship Start Date,Sponsoree Contact/Immigration,ICM,Low,No
Sponsorship,BCEA DEBT REPORT (MI361-01),"Sponsorship - 
Report of Sponsorship Debt that is compared to all other debt to ensure there is no double deductions",sponsorship expiry date,Sponsorship Expiry Date,Sponsoree Contact/Immigration,ICM,Low,No
Sponsorship,MI37F-01 - Sponsorship Receivables Collectio Details of Debt Calculation (By Person),Sponsorship,NEED SAMPLE OF REPORT,TBD,No,TBD,High,CGI
Sponsorship,MI37F-02 - Sponsorship Receivables Collectio Summary of Debt Calculation (By Person),Sponsorship,NEED SAMPLE OF REPORT,TBD,No,TBD,High,CGI
CS Focus Team,Financial Worker Field Advice (MI137-01),"Case Management - case changes after monthly Cheq Issue where there may be financial eligibilty impacts. Changes as a result of monthly Anniversary Process. Multiple 'Advice Messges' generated on the report, but Legacy ID. Report needs updating as many Advice Messages are obsolete. Report organized by Office Number then by Caseload Type EMP, HOM, LTC, MSO, NEO, OUT, PMB, PWD, TPA",Office,Case Office,Case/Case View Screen,ICM,Low,No
CS Focus Team,Financial Worker Field Advice (MI137-01),"Case Management - case changes after monthly Cheq Issue where there may be financial eligibilty impacts. Changes as a result of monthly Anniversary Process. Multiple 'Advice Messges' generated on the report, but Legacy ID. Report needs updating as many Advice Messages are obsolete. Report organized by Office Number then by Caseload Type EMP, HOM, LTC, MSO, NEO, OUT, PMB, PWD, TPA",csld,Caseload,Case/Work Queue,MIS,High,No
CS Focus Team,Financial Worker Field Advice (MI137-01),"Case Management - case changes after monthly Cheq Issue where there may be financial eligibilty impacts. Changes as a result of monthly Anniversary Process. Multiple 'Advice Messges' generated on the report, but Legacy ID. Report needs updating as many Advice Messages are obsolete. Report organized by Office Number then by Caseload Type EMP, HOM, LTC, MSO, NEO, OUT, PMB, PWD, TPA",Family Name,Last Name,Contact/Contact View Screen,ICM,Low,No
CS Focus Team,Financial Worker Field Advice (MI137-01),"Case Management - case changes after monthly Cheq Issue where there may be financial eligibilty impacts. Changes as a result of monthly Anniversary Process. Multiple 'Advice Messges' generated on the report, but Legacy ID. Report needs updating as many Advice Messages are obsolete. Report organized by Office Number then by Caseload Type EMP, HOM, LTC, MSO, NEO, OUT, PMB, PWD, TPA",file id,Legacy ID,Case/Case View Screen,ICM,Low,No
CS Focus Team,Financial Worker Field Advice (MI137-01),"Case Management - case changes after monthly Cheq Issue where there may be financial eligibilty impacts. Changes as a result of monthly Anniversary Process. Multiple 'Advice Messges' generated on the report, but Legacy ID. Report needs updating as many Advice Messages are obsolete. Report organized by Office Number then by Caseload Type EMP, HOM, LTC, MSO, NEO, OUT, PMB, PWD, TPA",Field Advice Message,Filed Advice Message,No,MIS,High,Pending MIS
CS Focus Team,Financial Worker Review Report (MI137-02),"Case Management -Worker Review Message - case changes after monthly Cheq Issue - Various 'Review Messages' are generated as a result of Anniversary Process changes to case. 
This requires review by the field as many 'Review Messages' are obsolete.",Office,Case Office,Case/Case View Screen,ICM,Low,Pending MIS
CS Focus Team,Financial Worker Review Report (MI137-02),"Case Management -Worker Review Message - case changes after monthly Cheq Issue - Various 'Review Messages' are generated as a result of Anniversary Process changes to case. 
This requires review by the field as many 'Review Messages' are obsolete.",csld,Caseload,Case/Work Queue,MIS,High,No
CS Focus Team,Financial Worker Review Report (MI137-02),"Case Management -Worker Review Message - case changes after monthly Cheq Issue - Various 'Review Messages' are generated as a result of Anniversary Process changes to case. 
This requires review by the field as many 'Review Messages' are obsolete.",Family Name,Last Name,Contact/Contact View Screen,ICM,Low,No
CS Focus Team,Financial Worker Review Report (MI137-02),"Case Management -Worker Review Message - case changes after monthly Cheq Issue - Various 'Review Messages' are generated as a result of Anniversary Process changes to case. 
This requires review by the field as many 'Review Messages' are obsolete.",file id,Legacy ID,Case/Case View Screen,ICM,Low,No
CS Focus Team,Financial Worker Review Report (MI137-02),"Case Management -Worker Review Message - case changes after monthly Cheq Issue - Various 'Review Messages' are generated as a result of Anniversary Process changes to case. 
This requires review by the field as many 'Review Messages' are obsolete.",Case Review Message,Case Review message,No,MIS,High,MIS
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,OFF,Case Office,Case/Case View Screen,ICM,Low,No
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,csld,Caseload,Case/Work Queue,MIS,High,No
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,File Name,Case Name,Case/Case View Screen,ICM,Low,No
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,file id,Legacy ID,Case/Case View Screen,ICM,Low,No
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,Class,Class,Case/More Info/More Info IA,ICM,Low,No
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,CAT,Category,Case/More Info/More Info IA,ICM,Low,No
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,New CPP Income,New CPP Income,Case/Contact/CPP Income/CPP Month Summary,MIS,High,No
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,Prev CPP Income,Prev CPP Income,Case/Contact/CPP Income/CPP Month Summary,MIS,High,MIS
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,Cheque Prod,Cheque Production,Case/More Info/Cheque Production?,ICM,Low,No
CS Focus Team,CPP Income Load - Case Review List (MI59H-01),CPP Income - File from Service Canada matches to case and case financial data. CPP team review for action or changes on cases,Review Message,Review Message,No,MIS,High,MIS
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,Office,Case Office,Case/Case View Screen,ICM,Low,No
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,Name,Name,Contact/Last Name,ICM,Low,No
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,Sex,Gender,Contact/Gender,ICM,Low,No
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,Birth,Date of Birth,Contact/Birthday,ICM,Low,No
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,missing(days),Missing Days,formula,MIS,High,FASB
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,file id,Legacy ID,Case/Case View Screen,ICM,Low,No
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,Relationship,Relationship,"Case/Contact/Contacts/Case Contacts/
Contact end date not NULL/ Relationship = KP or SPO",ICM,Low,No
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,File At,Owner Office,Case/Case View Screen/More,ICM,Low,No
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,Total for Caseload EMP,Total for Caseload XXX,No,Report,Medium,No
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,Total for Caseload PWD,Total for Caseload XXX,No,Report,Medium,No
CS Focus Team,Open GAIN Clients Missing SINs Report (MI579-02),Obslete- Replaced by SIN Multiple Person Report,Total for Office,Total for Office,No,Report,Medium,No
CS Focus Team,SINMultiplePersonsReport,Generated from CDW and replaces Open GAIN Clinets Missin SINS Report,sin,NIL,No,ICM,NA,No
CS Focus Team,SINMultiplePersonsReport,Generated from CDW and replaces Open GAIN Clinets Missin SINS Report,person id icm,Person ID ICM,No,ICM,Low,No
CS Focus Team,SINMultiplePersonsReport,Generated from CDW and replaces Open GAIN Clinets Missin SINS Report,case number,Case Number,No,ICM,Low,No
PLMS,UnsubmittedChartReport (OPC001-01),Overpayment Calculator - Unsubmitted Over Payment Reports. OPC pulls financial and payment information from MIS for calculation of Overpayment. OPC is manally complted by FASB. Debt is then manuyally added to case.,office,Case Office,Case/Case View Screen,ICM,Low,No
PLMS,UnsubmittedChartReport (OPC001-01),Overpayment Calculator - Unsubmitted Over Payment Reports. OPC pulls financial and payment information from MIS for calculation of Overpayment. OPC is manally complted by FASB. Debt is then manuyally added to case.,date opened,Open Date,Case/Case View Screen,ICM,Low,No
PLMS,UnsubmittedChartReport (OPC001-01),Overpayment Calculator - Unsubmitted Over Payment Reports. OPC pulls financial and payment information from MIS for calculation of Overpayment. OPC is manally complted by FASB. Debt is then manuyally added to case.,date modified,Date Modified,No,MIS,High,OPC
PLMS,UnsubmittedChartReport (OPC001-01),Overpayment Calculator - Unsubmitted Over Payment Reports. OPC pulls financial and payment information from MIS for calculation of Overpayment. OPC is manally complted by FASB. Debt is then manuyally added to case.,file id,Legacy ID,Case/Case View Screen,ICM,Low,No
PLMS,UnsubmittedChartReport (OPC001-01),Overpayment Calculator - Unsubmitted Over Payment Reports. OPC pulls financial and payment information from MIS for calculation of Overpayment. OPC is manally complted by FASB. Debt is then manuyally added to case.,chart,Chart,No,MIS,High,MIS
PLMS,UnsubmittedChartReport (OPC001-01),Overpayment Calculator - Unsubmitted Over Payment Reports. OPC pulls financial and payment information from MIS for calculation of Overpayment. OPC is manally complted by FASB. Debt is then manuyally added to case.,version,Version,No,MIS,High,MIS
PLMS,UnsubmittedChartReport (OPC001-01),Overpayment Calculator - Unsubmitted Over Payment Reports. OPC pulls financial and payment information from MIS for calculation of Overpayment. OPC is manally complted by FASB. Debt is then manuyally added to case.,caseload,Caseload,Case/Work Queue,MIS,High,No
PLMS,UnsubmittedChartReport (OPC001-01),Overpayment Calculator - Unsubmitted Over Payment Reports. OPC pulls financial and payment information from MIS for calculation of Overpayment. OPC is manally complted by FASB. Debt is then manuyally added to case.,last updated,Last Updated,No,MIS,High,OPC
PLMS,UnsubmittedChartReport (OPC001-01),Overpayment Calculator - Unsubmitted Over Payment Reports. OPC pulls financial and payment information from MIS for calculation of Overpayment. OPC is manally complted by FASB. Debt is then manuyally added to case.,overpay amount,Overpayment Amount,No,MIS,High,OPC
FASB AR & Debt,AR Collections - Accounts Sent to BCMail (MI94K-03),FASB - AR Collections letter to BC Mail,total accounts sent,Total Files Sent to BC Mail,No,MIS,Medium,MIS
FASB AR & Debt,AR Collections - Data Rejected for Transfer to Collection (MI94K-02),"FASB- AR data rejected for transfer to Collections FASB - Data Rejected for Transfer to Collections
Typically a Zero balance 
Report manaully reviewed
Further Review with FASB onntent and issues as possible automation",acct no,Legacy ID,Case/Case View Screen,ICM,Low,No
FASB AR & Debt,AR Collections - Data Rejected for Transfer to Collection (MI94K-02),"FASB- AR data rejected for transfer to Collections FASB - Data Rejected for Transfer to Collections
Typically a Zero balance 
Report manaully reviewed
Further Review with FASB onntent and issues as possible automation",name/address/tel,Name/Address/Phone,Case/Contact/Case Address,ICM,Low,No
FASB AR & Debt,AR Collections - Data Rejected for Transfer to Collection (MI94K-02),"FASB- AR data rejected for transfer to Collections FASB - Data Rejected for Transfer to Collections
Typically a Zero balance 
Report manaully reviewed
Further Review with FASB onntent and issues as possible automation",birthdate,Date of Birth,Contact/Birthday,ICM,Low,No
